               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.017587,            0.010837,            0.001031,             0.93543,             0.84988,             0.88979,             0.62886,            0.024867,           0.0094547,           0.0017767,            0.001882,            0.001882,            0.001882
                  84,            0.016527,           0.0095209,          0.00089083,             0.91084,             0.85043,             0.88431,             0.63318,            0.024085,           0.0094671,           0.0017542,            0.001783,            0.001783,            0.001783
                  85,            0.017542,           0.0089889,           0.0010635,             0.90761,             0.85043,             0.87529,             0.64127,            0.024571,           0.0096531,           0.0017683,            0.001684,            0.001684,            0.001684
                  86,            0.016825,           0.0095131,           0.0011246,             0.93344,             0.86931,             0.88806,             0.65271,            0.023872,           0.0095129,           0.0017452,            0.001585,            0.001585,            0.001585
                  87,            0.016953,            0.010905,           0.0011315,             0.92393,             0.85257,             0.87167,             0.65589,            0.024691,           0.0097675,           0.0018007,            0.001486,            0.001486,            0.001486
                  88,            0.017187,             0.01034,           0.0010564,             0.93216,             0.86347,             0.88103,             0.64583,            0.024128,           0.0098133,           0.0018463,            0.001387,            0.001387,            0.001387
                  89,            0.017419,            0.010945,            0.001289,             0.92361,             0.84094,             0.86674,             0.64022,            0.023825,           0.0098648,           0.0018797,            0.001288,            0.001288,            0.001288
                  90,            0.016456,           0.0094691,           0.0009778,              0.9103,             0.85747,             0.87784,             0.63741,            0.023807,           0.0099487,             0.00191,            0.001189,            0.001189,            0.001189
                  91,            0.016068,            0.011038,           0.0011484,             0.89231,             0.84849,             0.86389,             0.63878,            0.023875,           0.0099754,            0.001936,             0.00109,             0.00109,             0.00109
                  92,            0.015826,           0.0093578,           0.0010417,             0.89437,             0.85043,             0.86486,             0.64527,             0.02385,           0.0099325,           0.0018875,            0.000991,            0.000991,            0.000991
                  93,            0.016262,           0.0098815,           0.0010051,             0.89455,             0.85043,             0.86288,             0.63693,            0.023621,           0.0099525,            0.001893,            0.000892,            0.000892,            0.000892
                  94,             0.01561,            0.010163,          0.00086048,             0.90897,             0.84762,             0.86348,              0.6456,            0.023286,           0.0098534,           0.0018373,            0.000793,            0.000793,            0.000793
                  95,            0.015301,           0.0097305,          0.00099591,             0.90752,             0.85043,             0.86412,             0.64486,            0.023127,           0.0098181,           0.0017969,            0.000694,            0.000694,            0.000694
                  96,            0.014884,           0.0094678,          0.00091118,             0.90852,             0.84728,             0.86702,             0.65028,            0.023273,           0.0096512,           0.0017113,            0.000595,            0.000595,            0.000595
                  97,            0.014637,             0.01044,          0.00091738,             0.90798,             0.84475,             0.86941,             0.65634,            0.022961,           0.0095329,           0.0016727,            0.000496,            0.000496,            0.000496
                  98,            0.014328,           0.0093012,          0.00091938,             0.89395,             0.83654,             0.86936,             0.65701,            0.022866,           0.0094833,           0.0016531,            0.000397,            0.000397,            0.000397
                  99,            0.014992,           0.0097214,          0.00090456,             0.90784,             0.85155,             0.88495,             0.65003,            0.022873,           0.0095463,           0.0016676,            0.000298,            0.000298,            0.000298
