epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,91.4469,0.70987,0.47766,0.89844,0.72171,0.76432,0.7705,0.57047,0.9584,0.63514,1.04011,0.000759318,0.000759318,0.000759318
57,93.0824,0.72805,0.48819,0.90273,0.73427,0.785,0.80717,0.56935,0.93839,0.62713,1.03525,0.000742815,0.000742815,0.000742815
58,94.7545,0.68767,0.46241,0.89841,0.69716,0.779,0.7839,0.54947,0.9864,0.64923,1.08695,0.000726312,0.000726312,0.000726312
59,96.406,0.65593,0.45922,0.89431,0.72685,0.80161,0.80493,0.5559,0.96909,0.6602,1.05867,0.000709809,0.000709809,0.000709809
60,98.0294,0.68023,0.45282,0.88936,0.77221,0.75936,0.73993,0.52045,0.98384,0.75205,1.06766,0.000693305,0.000693305,0.000693305
61,99.6272,0.65466,0.4454,0.88124,0.75841,0.74421,0.73769,0.55177,0.90438,0.71286,1.0177,0.000676802,0.000676802,0.000676802
62,101.211,0.66719,0.45152,0.90615,0.78559,0.77486,0.78321,0.58147,0.89337,0.61906,1.00209,0.000660299,0.000660299,0.000660299
63,102.809,0.67791,0.4474,0.89547,0.75028,0.75891,0.79333,0.59678,0.88368,0.60041,0.99428,0.000643795,0.000643795,0.000643795
64,104.43,0.66599,0.436,0.89523,0.77102,0.69875,0.75396,0.54865,0.93153,0.71652,1.03329,0.000627292,0.000627292,0.000627292
65,105.997,0.67926,0.45832,0.90241,0.86274,0.67526,0.75864,0.53692,0.96541,0.75197,1.04944,0.000610789,0.000610789,0.000610789
66,107.617,0.63539,0.41588,0.89034,0.82279,0.74421,0.77285,0.56345,0.94011,0.6872,1.01222,0.000594286,0.000594286,0.000594286
67,109.207,0.64299,0.43885,0.87205,0.83438,0.7525,0.79223,0.56605,0.92115,0.69009,1.02515,0.000577782,0.000577782,0.000577782
68,110.782,0.64409,0.44384,0.89932,0.78325,0.74421,0.76647,0.56746,0.93183,0.73294,1.03515,0.000561279,0.000561279,0.000561279
69,112.364,0.62812,0.42554,0.88056,0.79657,0.74082,0.79079,0.56213,0.91119,0.73642,1.02138,0.000544776,0.000544776,0.000544776
70,114.091,0.6326,0.42729,0.87918,0.84052,0.7279,0.79274,0.56574,0.9113,0.73471,1.01697,0.000528272,0.000528272,0.000528272
71,115.769,0.63254,0.40629,0.87671,0.78373,0.77451,0.80907,0.57153,0.91066,0.72905,1.01183,0.000511769,0.000511769,0.000511769
72,117.37,0.62868,0.41683,0.87952,0.79348,0.74421,0.76862,0.5586,0.90873,0.73813,1.02199,0.000495266,0.000495266,0.000495266
73,118.937,0.58809,0.39716,0.86829,0.78593,0.78448,0.77661,0.56014,0.92111,0.70169,1.04121,0.000478762,0.000478762,0.000478762
74,120.602,0.59962,0.40591,0.87099,0.83303,0.7723,0.81239,0.56851,0.9276,0.68482,1.04318,0.000462259,0.000462259,0.000462259
75,122.223,0.654,0.42461,0.88946,0.78719,0.81063,0.80298,0.58242,0.87698,0.65669,1.01583,0.000445756,0.000445756,0.000445756
76,123.812,0.64222,0.41345,0.89449,0.793,0.80481,0.81836,0.59796,0.86353,0.63979,1.00298,0.000429253,0.000429253,0.000429253
77,125.399,0.63251,0.41895,0.88059,0.86331,0.80481,0.81773,0.58255,0.9442,0.65056,1.06356,0.000412749,0.000412749,0.000412749
78,126.993,0.59796,0.39242,0.87314,0.83997,0.80481,0.80624,0.57895,0.92062,0.62435,1.04258,0.000396246,0.000396246,0.000396246
79,128.613,0.60534,0.39587,0.87742,0.82095,0.81996,0.80965,0.59245,0.86855,0.61594,1.00951,0.000379743,0.000379743,0.000379743
80,130.245,0.57771,0.38382,0.87688,0.88574,0.77076,0.82267,0.59497,0.89625,0.5994,1.01873,0.000363239,0.000363239,0.000363239
81,131.805,0.57753,0.39049,0.85971,0.89887,0.77131,0.82389,0.60755,0.87204,0.60178,1.00163,0.000346736,0.000346736,0.000346736
82,133.489,0.59317,0.38136,0.86764,0.88822,0.78966,0.82271,0.60032,0.8883,0.63401,1.02075,0.000330233,0.000330233,0.000330233
83,135.119,0.56696,0.3827,0.8597,0.84607,0.79649,0.837,0.59572,0.93077,0.63808,1.04135,0.000313729,0.000313729,0.000313729
84,136.713,0.57786,0.37392,0.86529,0.77931,0.77451,0.79073,0.60895,0.89914,0.64315,1.03906,0.000297226,0.000297226,0.000297226
85,138.429,0.59532,0.37579,0.87507,0.83809,0.80437,0.81572,0.60209,0.88917,0.61401,1.0207,0.000280723,0.000280723,0.000280723
86,140.018,0.55875,0.38413,0.85197,0.8352,0.80365,0.80708,0.60016,0.91663,0.60611,1.03056,0.00026422,0.00026422,0.00026422
87,141.703,0.57421,0.37896,0.86791,0.84123,0.75936,0.79826,0.59598,0.93418,0.6078,1.03216,0.000247716,0.000247716,0.000247716
88,143.279,0.56899,0.37867,0.84359,0.85692,0.78112,0.79871,0.58822,0.92583,0.60975,1.03365,0.000231213,0.000231213,0.000231213
89,144.841,0.54331,0.36821,0.853,0.874,0.78651,0.79903,0.58682,0.9398,0.62231,1.05606,0.00021471,0.00021471,0.00021471
90,146.417,0.54637,0.35226,0.85054,0.87529,0.78703,0.8055,0.58381,0.95226,0.62709,1.05375,0.000198206,0.000198206,0.000198206
91,148.73,0.51518,0.3777,0.82613,0.85579,0.76407,0.80603,0.58662,0.91879,0.6329,1.03378,0.000181703,0.000181703,0.000181703
92,150.362,0.56841,0.37462,0.87045,0.84727,0.77451,0.80647,0.5859,0.92445,0.64757,1.03603,0.0001652,0.0001652,0.0001652
93,151.913,0.53409,0.34737,0.85939,0.81894,0.79711,0.81186,0.58846,0.93318,0.64569,1.04625,0.000148696,0.000148696,0.000148696
94,153.466,0.52204,0.33872,0.8426,0.82242,0.81477,0.81822,0.58788,0.94305,0.63683,1.04577,0.000132193,0.000132193,0.000132193
95,155.004,0.53933,0.34124,0.83605,0.81871,0.8152,0.8299,0.59752,0.92243,0.64922,1.03762,0.00011569,0.00011569,0.00011569
96,156.565,0.52685,0.33988,0.84635,0.8425,0.78167,0.8241,0.59696,0.91338,0.6428,1.02962,9.91865e-05,9.91865e-05,9.91865e-05
97,158.125,0.53069,0.33565,0.84344,0.83848,0.79818,0.8157,0.60233,0.92194,0.64268,1.03591,8.26832e-05,8.26832e-05,8.26832e-05
98,159.699,0.49955,0.3176,0.84356,0.83853,0.79847,0.81582,0.602,0.92655,0.63403,1.03687,6.61799e-05,6.61799e-05,6.61799e-05
99,161.305,0.50284,0.32226,0.83861,0.83773,0.79946,0.81571,0.59452,0.9203,0.63439,1.03635,4.96766e-05,4.96766e-05,4.96766e-05
100,162.887,0.5141,0.33299,0.83268,0.83155,0.77451,0.82177,0.60092,0.92189,0.64115,1.03945,3.31733e-05,3.31733e-05,3.31733e-05
